keys,zh_CN,en
"DIALOG_L1_TABLET_VILLAGE","迎狐之仪。\n供物入御供筒，不可手捧。\n祭坛从底向上读。后放入者，在上。","Welcoming the Fox ritual.\\nPlace offerings into the offering tube; do not carry them by hand.\\nRead the altar from bottom to top. The later offering goes on top."
"DIALOG_L1_TABLET_TORII","狐上山，不回头。\n若回头，莫唤名。\n人名入狐耳，山灯不长明。","Fox goes up the mountain and does not look back.\\nIf it does, do not call its name.\\nOnce a human name enters a fox's ears, the mountain lamps will not stay lit."
"DIALOG_L1_TABLET_ORDER","装束供物三件。\n杉木为底。\n白毛覆身。\n蓬草盖顶。","Three offerings for the costume.\\nSugi wood as the base.\\nWhite fur over the body.\\nMugwort on top."
"DIALOG_L1_TABLET_RAINNOTE","……送……本社……\n……白……覆身……\n……不得呼名……","...send...the shrine...\\n...white...cover...\\n...do not speak the name..."
"DIALOG_L1_HARVEST_SUGI","杉木很沉，砍口渗着冷水。旧规说，它是祭坛的底。","The Sugi wood is heavy, and cold water seeps from the cut. Old rules say it is the altar's base."
"DIALOG_L1_HARVEST_MUGWORT","蓬草味很浓，碰过的指尖都是苦的，似乎能压抑活物气息。","The mugwort is strongly scented. Your fingertips taste bitter after touching it, as if it can suppress living scent."
"DIALOG_L1_WHITE_FUR_CHEST","箱里放着一束白色纤维，箱子上刻着「白毛」，边缘却压得很平，潮了也不会打卷。","A bundle of white fiber lies in the chest. The lid is marked 'white fur', and the edges are pressed flat, never curling even when damp."
"DIALOG_L1_TOP_OFFERING_01","两样顶礼供物：旧铃铛和狐火石。","Two final offerings: the old bell and the foxfire stone."
"DIALOG_L1_ELDER_01","来了就好。昨晚山路又开始鬼打墙。","Good, you're here. Last night the mountain path started looping again."
"DIALOG_L1_ELDER_02","今晚上要照老规矩，把白狐迎回本社。这是御供筒","Tonight we follow the old rules and welcome the white fox back to the main shrine. This is the offering tube."
"DIALOG_L1_ELDER_03","老人把黑漆御供筒递给你。筒身冰冷，漆面沾着水，边上刻着细小的狐纹。","The elder hands you the black lacquer offering tube. It is cold, wet on the surface, with tiny fox patterns carved along the side."
"DIALOG_L1_ELDER_04","供物按顺序入筒。杉木、白毛、蓬草。","Put the offerings into the tube in order. Sugi wood, white fur, mugwort."
"DIALOG_L1_ELDER_05","若有什么不懂，按照山上的木牌做，千万别做错了。","If anything is unclear, follow the wooden signs on the mountain. Do not get it wrong."
"DIALOG_L1_ELDER_06","老人转过身，又记起来什么的样子，沙哑的声音悠悠传来，在山谷中回响","The elder turns away, then seems to remember something. Their hoarse voice drifts back and echoes through the valley."
"DIALOG_L1_ELDER_07","狐上山，不回头。若回头，莫唤名。","Fox goes up the mountain, and does not look back. If it does, do not call its name."
"DIALOG_L1_ELDER_08","什么名字？","What name?"
"DIALOG_L1_ELDER_09","想不起来，就不要想。守规矩的人，活得久些。去吧。","If you can't remember, then don't think about it. Those who keep the rules live longer. Go."
"DIALOG_L1_ALTAR_COMPLETE_01","御供筒被放上祭坛。杉木、白色纤维和蓬草按顺序落定。","The offering tube is set on the altar. Sugi wood, white fiber, and mugwort settle in order."
"DIALOG_L1_ALTAR_COMPLETE_02","白色纤维摊开时，盖住了中间那层影子。","When the white fiber spreads open, it covers the shadow in the middle."
"DIALOG_L1_ALTAR_COMPLETE_03","祠后的纸门轻响。门缝里没有风。","The paper door behind the shrine gives a soft sound. There is no wind in the gap."
"DIALOG_L1_ENDING_A_01","你把旧铃铛放在供物最上方。","You place the old bell on top of the offerings."
"DIALOG_L1_ENDING_A_02","铃声很远，从山上的雾里落下来。","The ringing is distant, falling from the mountain mist."
"DIALOG_L1_ENDING_A_03","白狐从鸟居后走出。它没有靠近，只看了你一眼。眼睛湿得发亮。","The white fox steps out from behind the torii gate. It does not come closer, only looks at you once. Its eyes shine wetly."
"DIALOG_L1_ENDING_A_04","它转身上山，尾端的狐火平稳地亮着。","It turns and heads up the mountain, the foxfire at the tail steady and bright."
"DIALOG_L1_ENDING_B_01","你把狐火石嵌进供物之间。","You set the foxfire stone between the offerings."
"DIALOG_L1_ENDING_B_02","火纹猛地亮起，供桌边缘冒出焦味。","The flame pattern flares bright, and a smell of char rises from the altar's edge."
"DIALOG_L1_ENDING_B_03","白狐从火光里走出。它跑得很急，像被什么东西催促前行。","The white fox emerges from the flames. It runs in a hurry, as if driven forward by something."
"DIALOG_L1_ENDING_B_04","它转身上山，影子被火拉得很长。","It turns back up the mountain, its shadow stretched long by the fire."
"DIALOG_L1_PORTAL_UNLOCK_01","旧鸟居后的山路在浓雾中亮了一下。","The mountain path behind the old torii flashes once in the thick mist."
"DIALOG_L1_PORTAL_UNLOCK_02","白狐没有回头。狐火在门后等你。","The white fox does not look back. The foxfire waits for you behind the gate."
"DIALOG_L2_TABLET_RITUAL","装束顺序。\n杉木为台。\n白□覆身。\n蓬草盖顶。","Order of dressing.\\nSugi wood as the platform.\\nWhite □ over the body.\\nMugwort on top."
"DIALOG_L2_TABLET_CLIFF","参道断时，以杉木承之。\n狐若不前，以铃安之。\n火若不旺，以油续之。","When the path breaks, support it with Sugi wood.\\nIf the fox will not move, soothe it with a bell.\\nIf the fire is weak, feed it oil."
"DIALOG_L2_TABLET_BELL","铃声安魂，狐火收敛。\n火石催行，狐火暴起。\n无论安抚或催促，狐都必须到本社。","Bell sounds soothe the soul, and the foxfire settles.\\nFoxfire stones drive it forward, and the foxfire surges.\\nWhether calmed or pushed, the fox must reach the main shrine."
"DIALOG_L2_HARVEST_SUGI_01","你又取下一段杉木。竹筒变轻，断路减少。","You take another length of Sugi wood. The tube grows lighter, and the broken route shrinks."
"DIALOG_L2_HARVEST_SUGI_02","你又取下一段杉木。竹筒变轻，断路减少。","You take another length of Sugi wood. The tube grows lighter, and the broken route shrinks."
"DIALOG_L2_WHITE_FUR_CHEST","箱里的白色纤维叠得很整齐。边缘有一排细小针孔，摸上去硬硬的。","The white fibers in the chest are stacked neatly. There is a row of tiny pinholes at the edge, and they feel stiff to the touch."
"DIALOG_L2_HARVEST_MUGWORT","高处的蓬草湿得发冷。揉开以后，苦味盖过了一切气味。","The mugwort high up is cold and damp. Crushed open, its bitterness overwhelms every other smell."
"DIALOG_L2_HARVEST_WATER_GRASS","清水草贴着掌心，凉得像井底的水，似乎能熄灭一切烈焰。，莫名躁动的心一瞬间静下来，","The clear-water grass rests against your palm, cool like water from the bottom of a well, as if it can extinguish any flame. Your restless heart grows still in an instant."
"DIALOG_L2_FAIL_BRIDGE_01","断处太宽。要用杉木承住参道。","The break is too wide. Use Sugi wood to bear the approach."
"DIALOG_L2_FAIL_LADDER_01","高台太远。要用杉木搭过去。","The ledge is too far. Use Sugi wood to bridge it."
"DIALOG_L2_BRIDGE_DEFAULT_01","你铺下杉木桥。","You lay down a Sugi wood bridge."
"DIALOG_L2_BRIDGE_01","你把筒里的杉木取出，架在断崖上。木头被雨泡得沉甸甸的。","You take the Sugi wood from the tube and set it across the cliff. The rain-soaked wood feels heavy."
"DIALOG_L2_BRIDGE_02","路能过了，但御供筒也空了一格。","The path is passable now, but the offering tube is one slot emptier."
"DIALOG_L2_BRIDGE_03","看来供物不只可以祭坛上用，也能修这条迎狐归位的路。","It seems offerings are not only for the altar; they can also repair the path for bringing the fox back."
"DIALOG_L2_BRIDGE_04","你把杉木铺在第二处断裂的参道上。","You lay the Sugi wood over the second break in the approach."
"DIALOG_L2_BRIDGE_05","木头压住碎石，脚下的空缺暂时安静下来。","The wood pins down the rubble, and the gap under your feet goes quiet for now."
"DIALOG_L2_BRIDGE_06","参道连上了，可以抵达平台。远处本社的灯变成冷蓝色，照得雨雾发白。","The approach is connected; you can reach the platform. In the distance, the main shrine lamps turn cold blue, whitening the rain mist."
"DIALOG_L2_LADDER_01","杉木斜搭在石台边。你踩上去，木头在雾里闷响。","The Sugi wood leans against the stone ledge. When you step on it, the wood gives a dull thud in the mist."
"DIALOG_L2_NO_LAMP_OIL_01","普通灯火太浊，取不出能用于仪式的灯芯油。","The ordinary flame is too muddy. You cannot draw lamp oil useful for the ritual."
"DIALOG_L2_LAMP_OIL_01","你从蓝火里取出一小瓶灯芯油。火苗矮下去，灯罩里只剩湿冷的烟。","You draw out a small bottle of lamp oil from the blue flame. The flame sinks, leaving only damp, cold smoke in the lamp shade."
"DIALOG_L2_BELL_REVEAL_01","你拉动旧铃绳。绳子吸饱了潮气，铃声闷闷地落进山谷，凭空出现一段平台，清水草在平台上轻轻晃动","You pull the old bell rope. Soaked with moisture, it sends a muffled ring into the valley, and a platform appears out of nowhere. The clear-water grass sways lightly on it."
"DIALOG_L2_ALTAR_COMPLETE_01","第二座祭坛接住了供物。石面渗出水。","The second altar catches the offerings. Water seeps from the stone surface."
"DIALOG_L2_ALTAR_COMPLETE_02","本社的灯亮了一点，白狐的影子出现在参道尽头。","The main shrine's lamps brighten a little, and the white fox's shadow appears at the end of the approach."
"DIALOG_L2_ALTAR_COMPLETE_03","还差最后一道顶礼。清水草压火，灯芯油添火。","Only the final offering remains. Clear-water grass calms the flame; lamp oil feeds it."
"DIALOG_L2_END_A_01","你把清水草覆在供物上。","You cover the offering with clear-water grass."
"DIALOG_L2_END_A_02","蓝火低下去，白狐的脚步慢下来，身子蜷缩起来，恍惚间好似学步小童。","The blue fire lowers. The white fox's steps slow, and its body curls up, briefly like a toddler learning to walk."
"DIALOG_L2_END_A_03","至少别再催它了。","At least stop driving it on."
"DIALOG_L2_END_B_01","你把灯芯油倒进火里。","You pour the lamp oil into the flame."
"DIALOG_L2_END_B_02","狐火猛地照亮两侧石像。白狐的影子被拉长，像是披着宽袖踽踽前行。","The foxfire suddenly lights up the stone statues on both sides. The white fox's shadow stretches long, as if it were trudging forward in wide sleeves."
"DIALOG_L2_END_B_03","那影子……不像狐。","That shadow... doesn't look like a fox."
"DIALOG_L3_TABLET_VILLAGE","迎狐之仪。\n供物入御供筒，不可手捧。\n祭坛从底向上读。后放入者，在上。","Welcoming the Fox ritual.\\nOfferings go into the offering tube; do not carry them by hand.\\nRead the altar from bottom to top. The later offering goes on top."
"DIALOG_L3_TABLET_TORII","狐上山，不回头。\n若回头，莫唤名。\n人名入狐耳，山灯不长明。","Fox goes up the mountain and does not look back.\\nIf it does, do not call its name.\\nA human name in a fox's ear keeps the mountain lamp from burning long."
"DIALOG_L3_TABLET_ORDER","装束供物三件。\n杉木为底。\n白毛覆身。\n蓬草盖顶。","Three offerings for the costume.\\nSugi wood as the base.\\nWhite fur over the body.\\nMugwort on top."
"DIALOG_L3_TABLET_RAINNOTE","……送……本社……\n……白……覆身……\n……不得呼名……","...send...the shrine...\\n...white...cover...\\n...do not speak the name..."
"DIALOG_L3_OPEN_01","本社到了。","You've arrived at the main shrine."
"DIALOG_L3_OPEN_02","这里没有倒塌。灯笼、回廊和纸门都摆得很整齐。","Nothing here has collapsed. Lanterns, corridors, and paper doors are all neatly in place."
"DIALOG_L3_OPEN_03","地上没有脚印，供桌也没有香灰，比山路还干净","There are no footprints on the ground, and no ash on the offering table. It's cleaner than the mountain path."
"DIALOG_L3_OPEN_04","总觉得会有人在里面生活","It feels like someone should be living inside."
"DIALOG_L3_OPEN_05","可安静的什么声音都没有。","But the silence gives away nothing."
"DIALOG_L3_ARCHIVE_01_01","表面的金漆写着「迎狐之仪」。","The gold paint on the surface reads 'Welcoming the Fox Ritual'."
"DIALOG_L3_ARCHIVE_01_02","陈旧的木匾被潮气浸润，侵蚀了金漆，用狐火靠近查看，泡软的金漆斑驳","The old wooden plaque is soaked with moisture, eroding the gold paint. When you bring foxfire close, the softened paint flakes unevenly."
"DIALOG_L3_ARCHIVE_01_03","下面一层的金漆更加陈旧，你使劲擦却只能擦出「送*之仪」的字样。","The layer beneath is even older. You scrub hard, but can only reveal the characters 'Sending * Ritual'."
"DIALOG_L3_ARCHIVE_01_04","迎狐是后来印上去的字，原来这个仪式是送行，为什么是送，要送什么？","'Welcoming the Fox' was added later. So the ritual was originally a sending ritual. Why send, and what was being sent?"
"DIALOG_L3_ARCHIVE_02_01","大疫第三年，山路七日不通。井水发黑，死者二十七。村人不再入山。","In the third year of the plague, the mountain path was blocked for seven days. The well water turned black, and twenty-seven people died. The villagers no longer went into the mountains."
"DIALOG_L3_ARCHIVE_02_02","社中择送行者一名。白衣覆身，于子时送至本社。","One sender was chosen from the shrine. Dressed in white, they were sent to the main shrine at midnight."
"DIALOG_L3_ARCHIVE_02_03","是夜后，山雾散。道路复正。井水渐清。病者亦退热。","After that night, the mountain mist cleared. The road straightened. The well water cleared. The sick also broke their fevers."
"DIALOG_L3_ARCHIVE_02_04","次年重修神社。村中改称此仪为「迎狐」。旧称自此不再记于木额。","The next year, the shrine was rebuilt. The village renamed the ritual 'Welcoming the Fox'. The old name was no longer recorded on the plaque."
"DIALOG_L3_ARCHIVE_02_05","送行者……送的是人？为什么要送人进神社？","The sender... was a person? Why send a person into the shrine?"
"DIALOG_L3_ARCHIVE_03_01","白*一领。童身用。袖口束紧。","One white * robe. For a child's body. Cuffs tied tight."
"DIALOG_L3_ARCHIVE_03_02","有人用纸遮住了这个字，粘得很死，无法强行撕开","Someone covered this character with paper, glued on so tightly you cannot tear it off by force."
"DIALOG_L3_ARCHIVE_04_01","杉木为轿。白□覆身。蓬草盖顶，以遮人气。","Sugi wood as the palanquin. White □ over the body. Mugwort on top to hide human scent."
"DIALOG_L3_ARCHIVE_04_02","送行后，狐神归位，再不得呼其名。","After the sending, the fox deity returns to its seat, and its name must never again be called."
"DIALOG_L3_ARCHIVE_05_01","本次送行者：雨宫纱夜，九岁。山社巫女。签选。家不得辞。","Sender for this ritual: Amamiya Sayo, age nine. Shrine maiden. Chosen by lot. Family may not refuse."
"DIALOG_L3_ARCHIVE_05_02","送行后，名册除名。村中不得呼其名。家人不得回望。","After the sending, the name is struck from the roster. The village must not speak it. Family must not look back."
"DIALOG_L3_ARCHIVE_05_03","狐位者，生身入位，化狐守灯，镇山路与旧病。若至亲呼名，狐位松动；狐位一空，诸灾复归。","The fox-seat bearer enters the seat in body and becomes a fox to guard the lamps, calming mountain roads and old disease. If a close relative calls the name, the seat loosens; if the seat empties, all disasters return."
"DIALOG_L3_ARCHIVE_05_04","雨宫纱夜。","Amamiya Sayo."
"DIALOG_L3_ARCHIVE_05_05","为什么她也叫雨宫，这个名字为什么如此耳熟。","Why does she also carry the name Amamiya? Why does it sound so familiar?"
"DIALOG_L3_ARCHIVE_05_06","大脑剧烈的疼痛，有什么东西要记起来了，你反复咀嚼着这个名字","Your head throbs violently. Something is trying to surface, and you keep turning the name over and over."
"DIALOG_L3_ARCHIVE_05_07","雨宫纱夜，这是姐姐的名字。","Amamiya Sayo. That's your older sister's name."
"DIALOG_L3_INSIGHT_RITUAL_01","旧字写送，新字写迎。","The old characters say send, the new ones say welcome."
"DIALOG_L3_INSIGHT_RITUAL_02","有人把仪式的方向改反了，原本的送行变成了迎神","Someone reversed the ritual's direction. The original sending became a welcoming rite."
"DIALOG_L3_INSIGHT_GARMENT_01","纸上写着白，后面的字被框住了。","The paper says white, and the character after it is boxed in."
"DIALOG_L3_INSIGHT_GARMENT_02","装束札也缺了同一处，像是有人故意留下一个空格。","The costume note is missing the same part, as if someone deliberately left a blank."
"DIALOG_L3_INSIGHT_PERSON_01","送行者是雨宫纱夜。","The sender was Amamiya Sayo."
"DIALOG_L3_INSIGHT_PERSON_02","怪不得大人从来闭口不谈姐姐的名字，甚者说我是家中独女我从未有过姐姐","No wonder the adults never spoke my sister's name. They even said I was the only child in the family, as if I never had a sister at all."
"DIALOG_L3_INSIGHT_PERSON_03","白狐回头时，童谣不让我叫的，都是这个名字。","When the white fox turns back, the nursery rhyme tells me not to call the name. It's always this name."
"DIALOG_L3_UNLOCK_PLAQUE_01","五份记录对上了。","All five records match up."
"DIALOG_L3_UNLOCK_PLAQUE_02","旧木额、回廊牌、衣箱、装束札和内殿档案，都缺一角，也都湿得发软。","The old plaque, corridor sign, chest, costume note, and inner archive all have a missing corner, and all are damp and soft."
"DIALOG_L3_UNLOCK_PLAQUE_03","只差门口那块匾。","Only the plaque at the gate is left."
"DIALOG_L3_UNLOCK_PLAQUE_04","如果狐火能照出旧字，也许能把缺角补上。","If foxfire can reveal the old characters, maybe the missing corner can be restored."
"DIALOG_L3_PLAQUE_REVEAL_01","匾额上的「送*之仪」被狐火照亮。","The 'Sending * Ritual' on the plaque is lit by foxfire."
"DIALOG_L3_PLAQUE_REVEAL_02","狐火贴近木面。剩余的金漆起泡，一点点自行剥落。","The foxfire presses close to the wood. The remaining gold paint blisters and peels away bit by bit on its own."
"DIALOG_L3_PLAQUE_REVEAL_03","遮住的字露了出来。","The hidden character is revealed."
"DIALOG_L3_PLAQUE_REVEAL_04","木匾变成了「送狐之仪」。","The wooden plaque becomes 'Sending the Fox Ritual'."
"DIALOG_L3_PLAQUE_REVEAL_05","既然木匾有了变化，我们去看看刚才箱子里的字到底是什么。","Since the plaque has changed, let's see exactly what the chest's missing word was."
"DIALOG_L3_PAPER_RECHECK_01","纸片上的遮挡松开了。","The covering on the paper loosens."
"DIALOG_L3_PAPER_RECHECK_02","刚才被框掉的字，是衣。","The character hidden in the box was clothing."
"DIALOG_L3_PAPER_RECHECK_03","我一路复原的是送行者的装束。","I've been reconstructing the sender's attire all along."
"DIALOG_L3_PAPER_RECHECK_04","再往内室走，白狐应该就在那里。","Go further into the inner chamber. The white fox should be there."
"DIALOG_L3_INNER_01","白狐出现在长明灯前。灯下的石板渗着水。","The white fox appears before the eternal lamp. The stone slab beneath it is seeping water."
"DIALOG_L3_INNER_02","它回过头。童谣里的禁句贴着耳边响起。","It turns back. The forbidden line from the nursery rhyme rings in your ears."
