keys,zh_CN,en
"CUT_OPENING_TITLE_01","狐火未归","The foxfire has not returned"
"CUT_OPENING_BODY_01","昨夜起，山脚的灯接连熄灭。雨停了，石灯还是湿的。\n去邻村送药的人说，她顺着参道下山，走了一晚上，却还在原地打转","Since last night, the lamps at the foot of the mountain have gone out one after another. The rain stopped, but the stone lamps are still wet.\\nPeople who delivered medicine to the next village said she walked down the approach all night and still ended up where she started."
"CUT_OPENING_TITLE_02","迎狐之仪","Welcoming the Fox ritual"
"CUT_OPENING_BODY_02","村里把这叫「狐火离位」。\n若狐火不回本社，山路会鬼打墙，井水会发苦。\n按旧规，山社要举行迎狐之仪，把白狐迎回山上的本社。","The village calls this the foxfire leaving its seat.\\nIf the foxfire does not return to the shrine, the mountain path will loop and the well water will turn bitter.\\nBy old custom, the shrine must hold the Welcoming the Fox ritual and bring the white fox back to the shrine on the mountain."
"CUT_OPENING_TITLE_03","见习巫女","Apprentice shrine maiden"
"CUT_OPENING_BODY_03","你是山社的见习巫女，雨宫铃音。你记得自己曾有一个姐姐，她才是山社真正的巫女。\n但是你忘记了她的名字，你问过大人，他们却闭口不谈","You are the shrine's apprentice maiden, Amamiya Rinne. You remember that you once had an older sister, and she was the shrine's true maiden.\\nBut you have forgotten her name, and when you ask the adults, they refuse to speak of it."
"CUT_OPENING_TITLE_04","童谣","Nursery rhyme"
"CUT_OPENING_BODY_04","你只记得那首童谣。\n狐上山，不回头。若回头，莫唤名。\n什么名字？名字像被水泡过的草纸，模糊了形状，念不出来。","You only remember that nursery rhyme.\\nFox goes up the mountain, do not look back. If it does, do not call its name.\\nWhat name? The name feels like wet paper, blurred and impossible to speak."
"CUT_OPENING_TITLE_05","装束之祠","Vestment Shrine"
"CUT_OPENING_BODY_05","山脚的小祠已经开门。门槛下积着一线雨水。\n供桌擦过，木牌立好，御供筒放在老人手边。\n今晚轮到你送狐上山。","The small shrine at the foot of the mountain is already open. A thin line of rainwater gathers under the threshold.\\nThe offering table has been wiped, the wooden plaques are set, and the offering tube rests beside the elder.\\nTonight, it is your turn to send the fox up the mountain."
"CUT_ENDING_A_01","你没有再出声。","You do not speak again."
"CUT_ENDING_A_02","白狐等了一会儿，转身走进长明灯后。灯油落下一滴。","The white fox waits for a moment, then turns and slips behind the eternal lamp. A drop of lamp oil falls."
"CUT_ENDING_A_03","本社的灯一盏接一盏亮起。雨声退到屋檐外。","The shrine lamps light one by one. The rain retreats beyond the eaves."
"CUT_ENDING_A_04","山路复正，井水变清，村里的病人也在天亮前退了热。","The mountain road straightens, the well water clears, and the villagers with fevers cool before dawn."
"CUT_ENDING_A_05","村里人说，迎狐之仪完成了。","The villagers say the Welcoming the Fox ritual is complete."
"CUT_ENDING_A_06","没有人提起纱夜。","No one mentions Sayo."
"CUT_ENDING_A_07","你翻开内殿档案。写着那个名字的一行被水气洇开，","You open the inner hall archive. The line with that name has been blurred by moisture,"
"CUT_ENDING_A_08","连带着你的记忆模糊不清，世间无人再记得那个名字。","and your memory goes hazy with it. No one in the world remembers that name anymore."
"CUT_ENDING_A_09","你救了村子。","You saved the village."
"CUT_ENDING_A_10","也把她永远一人留在了潮湿阴暗的神山上。","And you left her alone forever on the damp, dark sacred mountain."
"CUT_ENDING_A_SUBTITLE","结局 A：长明\n按任意键返回主菜单","Ending A: Everlasting Light\\nPress any key to return to the main menu"
"CUT_ENDING_B_01","你叫出了她的名字。","You called her name."
"CUT_ENDING_B_02","……纱夜。","...Sayo."
"CUT_ENDING_B_03","白狐停下。狐火从她身上剥落，白衣从火里显出来。","The white fox stops. Foxfire peels off her body, and white clothing emerges from the flames."
"CUT_ENDING_B_04","她跪在长明灯前，抓住你的袖子。","She kneels before the eternal lamp and grabs your sleeve."
"CUT_ENDING_B_05","下一刻，本社的灯同时晃动。屋檐开始滴水。","The next moment, the shrine lamps all sway at once. Water begins dripping from the eaves."
"CUT_ENDING_B_06","山路错乱成怪圈，井水悄无声息的涌出井口，","The mountain path twists into loops, and well water silently spills out of the well mouth,"
"CUT_ENDING_B_07","村口的石灯一盏盏熄灭。","and the stone lamps at the village entrance go out one after another."
"CUT_ENDING_B_08","天亮以后，村里陆续有人开始问：纱夜是谁","After dawn, people in the village begin asking one after another: who is Sayo?"
"CUT_ENDING_B_09","有人想起那是一个神社巫女","Some remember she was a shrine maiden."
"CUT_ENDING_B_10","也有人想起，自己曾经答应过不要说。","Others remember they once promised not to speak."
"CUT_ENDING_B_11","纱夜的手很冷。","Sayo's hands are very cold."
"CUT_ENDING_B_12","但那是人的手。","But they are human hands."
"CUT_ENDING_B_SUBTITLE","结局 B：回名\n按任意键返回主菜单","Ending B: Name Returned\\nPress any key to return to the main menu"
