keys,zh_CN,en
"ITEM_SUGI_WOOD_NAME","杉木","Sugi Wood"
"ITEM_SUGI_WOOD_DESC","沉水杉木。湿得发重，可以承住断路。","Waterlogged cedar. Heavy with moisture, it can bridge broken paths."
"ITEM_WHITE_FUR_NAME","白毛","White Fur"
"ITEM_WHITE_FUR_DESC","旧箱里的白色纤维。边缘平整，有细小针孔。","White fibers from an old chest. The edges are neat, with tiny pinholes."
"ITEM_MUGWORT_NAME","蓬草","Mugwort"
"ITEM_MUGWORT_DESC","味道很重的草。揉开后能遮住人的气味。","A strongly scented herb. Crushed open, it can mask a person's scent."
"ITEM_BELL_FIBER_NAME","旧铃铛","Old Bell"
"ITEM_BELL_FIBER_DESC","铃声渐止，请慢些归去。","The bell's ringing is fading. Return more slowly."
"ITEM_FOX_STONE_NAME","狐火石","Foxfire Stone"
"ITEM_FOX_STONE_DESC","狐火将熄，速速归去。","The foxfire is about to die out. Return at once."
"ITEM_WATER_GRASS_NAME","清水草","Clearwater Grass"
"ITEM_WATER_GRASS_DESC","水边草，触感发凉。可让狐火慢下来。","A waterside herb, cool to the touch. It can slow the foxfire."
"ITEM_LAMP_OIL_NAME","灯芯油","Lamp Oil"
"ITEM_LAMP_OIL_DESC","从蓝火里取出的油。可让狐火烧得更亮。","Oil drawn from blue flame. It makes the foxfire burn brighter."
