keys,zh_CN,en
"E  使用梯子：","E  使用梯子：","E  Use ladder:"
"E  提取灯油","E  提取灯油","E  Extract lamp oil"
"E  查看内室","E  查看内室","E  Check inner room"
"E  用狐火照匾额","E  用狐火照匾额","E  Shine foxfire on the plaque"
"E  进入山路","E  进入山路","E  Enter the mountain path"
"E  铺设桥：","E  铺设桥：","E  Lay bridge:"
"使用梯子：","使用梯子：","Use ladder:"
"提取灯油","提取灯油","Extract lamp oil"
"查看内室","查看内室","Check inner room"
"用狐火照匾额","用狐火照匾额","Shine foxfire on the plaque"
"进入山路","进入山路","Enter the mountain path"
"铺设桥：","铺设桥：","Lay bridge:"
"……它不像是在带路，倒是像在赶路","……它不像是在带路，倒是像在赶路","...It doesn’t feel like it’s leading the way—more like it’s hurrying somewhere."
"……纱夜。","……纱夜。","...Sayo."
"下一刻，本社的灯同时晃动。屋檐开始滴水。","下一刻，本社的灯同时晃动。屋檐开始滴水。","In the next moment, all the shrine lamps tremble at once. Water begins to drip from the eaves."
"下面一层的金漆更加陈旧，你使劲擦却只能擦出「送*之仪」的字样。","下面一层的金漆更加陈旧，你使劲擦却只能擦出「送*之仪」的字样。","The lower layer of gold paint is even older. No matter how hard you scrub, you can only make out: “Rite of Sending*.”"
"不呼唤","不呼唤","Don’t call her"
"两样顶礼供物：旧铃铛和狐火石。","两样顶礼供物：旧铃铛和狐火石。","Two offerings for the final bow: an old bell and a foxfire stone."
"为什么她也叫雨宫，这个名字为什么如此耳熟。","为什么她也叫雨宫，这个名字为什么如此耳熟。","Why is her name Amemiya too? Why does it sound so familiar?"
"也把她永远一人留在了潮湿阴暗的神山上。","也把她永远一人留在了潮湿阴暗的神山上。","...and left her alone forever on the damp, sunless sacred mountain."
"也有人想起，自己曾经答应过不要说。","也有人想起，自己曾经答应过不要说。","Some remember they once promised not to say it."
"五份记录对上了。","五份记录对上了。","All five records match up."
"什么名字？","什么名字？","What name?"
"今晚上要照老规矩，把白狐迎回本社。这是御供筒","今晚上要照老规矩，把白狐迎回本社。这是御供筒","Tonight we follow the old rules and welcome the white fox back to the main shrine. This is the offering tube."
"从蓝火里取出的油。可让狐火烧得更亮。","从蓝火里取出的油。可让狐火烧得更亮。","Oil drawn from blue flame. It makes foxfire burn brighter."
"仪式名：村里称作迎狐，为的是迎接狐火归位","仪式名：村里称作迎狐，为的是迎接狐火归位","Ritual name: The village calls it “Welcoming the Fox” — to bring the foxfire back to its post."
"仪式名：迎狐覆盖了送狐","仪式名：迎狐覆盖了送狐","Ritual name: “Welcoming” overwrote “Sending-Off.”"
"仪式名：送狐","仪式名：送狐","Ritual name: Sending the Fox"
"但狐位一空，被压住的东西也会回到村里。","但狐位一空，被压住的东西也会回到村里。","But if the fox-seat is left empty, what it held down will return to the village."
"但那是人的手。","但那是人的手。","But it was a human hand."
"你从蓝火里取出一小瓶灯芯油。火苗矮下去，灯罩里只剩湿冷的烟。","你从蓝火里取出一小瓶灯芯油。火苗矮下去，灯罩里只剩湿冷的烟。","You draw a small bottle of lamp oil from the blue flame. The fire sinks low, leaving only damp, cold smoke under the shade."
"你停下时，它也停下，回头等你。","你停下时，它也停下，回头等你。","When you stop, it stops too, turning back to wait for you."
"你又取下一段杉木。竹筒变轻，断路减少。","你又取下一段杉木。竹筒变轻，断路减少。","You take out another length of sugi wood. The tube grows lighter, and one broken stretch of path is gone."
"你叫出了她的名字。","你叫出了她的名字。","You spoke her name."
"你坠入黑暗，仪式从这一章重新开始。","你坠入黑暗，仪式从这一章重新开始。","You fall into darkness. The rite begins again from this chapter."
"你把旧铃铛放在供物最上方。","你把旧铃铛放在供物最上方。","You place the old bell atop the offerings."
"你把杉木铺在第二处断裂的参道上。","你把杉木铺在第二处断裂的参道上。","You lay sugi wood across the second break in the approach."
"你把清水草覆在供物上。","你把清水草覆在供物上。","You cover the offering with water grass."
"你把灯芯油倒进火里。","你把灯芯油倒进火里。","You pour lamp oil into the fire."
"你把狐火石嵌进供物之间。","你把狐火石嵌进供物之间。","You set the foxfire stone between the offerings."
"你把筒里的杉木取出，架在断崖上。木头被雨泡得沉甸甸的。","你把筒里的杉木取出，架在断崖上。木头被雨泡得沉甸甸的。","You take the sugi wood from the tube and span it across the broken cliff. Rain has soaked the wood until it hangs heavy."
"你拉动旧铃绳。绳子吸饱了潮气，铃声闷闷地落进山谷，凭空出现一段平台，清水草在平台上轻轻晃动","你拉动旧铃绳。绳子吸饱了潮气，铃声闷闷地落进山谷，凭空出现一段平台，清水草在平台上轻轻晃动","You pull the old bell rope. Heavy with damp, it drops a muffled chime into the valley. A platform appears from nothing, and water grass sways softly atop it."
"你救了村子。","你救了村子。","You saved the village."
"你没有再出声。","你没有再出声。","You don’t speak again."
"你翻开内殿档案。写着那个名字的一行被水气洇开，","你翻开内殿档案。写着那个名字的一行被水气洇开，","You open the inner hall archives. The line with that name has been blurred by damp," 
"你铺下杉木桥。","你铺下杉木桥。","You lay down a sugi-wood bridge."
"供物","供物","Offerings"
"供物似乎还不够。","供物似乎还不够。","The offerings still don’t seem to be enough."
"供物按顺序入筒。杉木、白毛、蓬草。","供物按顺序入筒。杉木、白毛、蓬草。","Offerings go into the tube in order: sugi wood, white fur, mugwort."
"供物次第有误","供物次第有误","Wrong offering order"
"内殿档案","内殿档案","Inner hall record"
"再往内室走，白狐应该就在那里。","再往内室走，白狐应该就在那里。","Go deeper into the inner chamber. The white fox should be there."
"再看纸条","再看纸条","Check the note again"
"刚才被框掉的字，是衣。","刚才被框掉的字，是衣。","The boxed-out character is “衣” (garment)."
"匾额上的「送*之仪」被狐火照亮。","匾额上的「送*之仪」被狐火照亮。","Foxfire lights up the words “Rite of Sending*” on the plaque."
"参道连上了，可以抵达平台。远处本社的灯变成冷蓝色，照得雨雾发白。","参道连上了，可以抵达平台。远处本社的灯变成冷蓝色，照得雨雾发白。","The approach is connected again—you can reach the platform. Far away, the main shrine lights turn a cold blue, bleaching the rain fog pale."
"只差门口那块匾。","只差门口那块匾。","Only the plaque by the entrance remains."
"可安静的什么声音都没有。","可安静的什么声音都没有。","Yet it’s so quiet—there’s no sound at all."
"味道很重的草。揉开后能遮住人的气味。","味道很重的草。揉开后能遮住人的气味。","A pungent herb. Crush it and it can mask a human scent."
"回廊竹简","回廊竹简","Corridor bamboo slip"
"地上没有脚印，供桌也没有香灰，比山路还干净","地上没有脚印，供桌也没有香灰，比山路还干净","There are no footprints on the ground, and no ash on the offering table—cleaner than the mountain path itself."
"大疫第三年，山路七日不通。井水发黑，死者二十七。村人不再入山。","大疫第三年，山路七日不通。井水发黑，死者二十七。村人不再入山。","Third year of the great plague: the mountain road is impassable for seven days. The well water turns black; twenty-seven dead. The villagers no longer enter the mountain."
"大脑剧烈的疼痛，有什么东西要记起来了，你反复咀嚼着这个名字","大脑剧烈的疼痛，有什么东西要记起来了，你反复咀嚼着这个名字","A stabbing pain in your head. Something is about to come back to you, and you keep chewing on that name."
"天亮以后，村里陆续有人开始问：纱夜是谁","天亮以后，村里陆续有人开始问：纱夜是谁","After daybreak, people in the village begin to ask, one after another: who is Sayo?"
"奉纳","奉纳","Offer"
"奉纳完成","奉纳完成","Offering complete"
"她跪在长明灯前，抓住你的袖子。","她跪在长明灯前，抓住你的袖子。","She kneels before the eternal lamp and grabs your sleeve."
"如果姐姐的全名被叫出来，狐位会松动。","如果姐姐的全名被叫出来，狐位会松动。","If my sister’s full name is spoken, the fox-seat will loosen."
"如果狐火能照出旧字，也许能把缺角补上。","如果狐火能照出旧字，也许能把缺角补上。","If foxfire can reveal the old lettering, maybe it can restore the missing corner."
"它回过头。童谣里的禁句贴着耳边响起。","它回过头。童谣里的禁句贴着耳边响起。","It turns its head back. The taboo line from the rhyme rings against your ear."
"它转身上山，尾端的狐火平稳地亮着。","它转身上山，尾端的狐火平稳地亮着。","It turns toward the mountain; the foxfire at its tail burns steadily."
"它转身上山，影子被火拉得很长。","它转身上山，影子被火拉得很长。","It turns toward the mountain; the fire stretches its shadow long."
"山路入夜","山路入夜","Night on the mountain path"
"山路复正，井水变清，村里的病人也在天亮前退了热。","山路复正，井水变清，村里的病人也在天亮前退了热。","The mountain road rights itself. The well water clears, and the sick in the village break their fevers before dawn."
"山路错乱成怪圈，井水悄无声息的涌出井口，","山路错乱成怪圈，井水悄无声息的涌出井口，","The mountain road twists into a strange loop. Well water silently wells up over the rim," 
"底","底","Bottom"
"开始","开始","Start"
"御供筒","御供筒","Offering tube"
"御供筒中还没有供物。","御供筒中还没有供物。","There are no offerings in the tube yet."
"御供筒已经满了。要先确认顺序。","御供筒已经满了。要先确认顺序。","The offering tube is full. Check the order first."
"御供筒被放上祭坛。杉木、白色纤维和蓬草按顺序落定。","御供筒被放上祭坛。杉木、白色纤维和蓬草按顺序落定。","The offering tube is set upon the altar. Sugi wood, white fiber, and mugwort settle into place in order."
"怪不得大人从来闭口不谈姐姐的名字，甚者说我是家中独女我从未有过姐姐","怪不得大人从来闭口不谈姐姐的名字，甚者说我是家中独女我从未有过姐姐","No wonder the adults never speak my sister’s name. Some even say I’m an only child—that I never had a sister."
"总觉得会有人在里面生活","总觉得会有人在里面生活","It feels like someone should be living in there."
"想不起来，就不要想。守规矩的人，活得久些。去吧。","想不起来，就不要想。守规矩的人，活得久些。去吧。","If you can’t remember, then don’t try. People who follow the rules live a little longer. Go."
"我","我","Me"
"我一路复原的是送行者的装束。","我一路复原的是送行者的装束。","All along, I’ve been restoring the send-off attire."
"打开箱子","打开箱子","Open the box"
"打开衣箱","打开衣箱","Open the garment chest"
"按 E 或 Space 继续","按 E 或 Space 继续","Press E or Space to continue"
"摘取清水草","摘取清水草","Pick water grass"
"断处太宽。要用杉木承住参道。","断处太宽。要用杉木承住参道。","The gap is too wide. You need sugi wood to support the approach."
"既然木匾有了变化，我们去看看刚才箱子里的字到底是什么。","既然木匾有了变化，我们去看看刚才箱子里的字到底是什么。","Now that the plaque has changed, let’s go see what the character in the chest really was."
"旧字写送，新字写迎。","旧字写送，新字写迎。","The old text says “send.” The new text says “welcome.”"
"旧木额","旧木额","Old plaque"
"旧木额、回廊牌、衣箱、装束札和内殿档案，都缺一角，也都湿得发软。","旧木额、回廊牌、衣箱、装束札和内殿档案，都缺一角，也都湿得发软。","The old plaque, the corridor tablet, the garment chest, the garment note, and the inner hall record all miss a corner—and all are damp and softened."
"旧箱里的白色纤维。边缘平整，有细小针孔。","旧箱里的白色纤维。边缘平整，有细小针孔。","White fiber from the old chest. The edges are neat, with tiny needle holes."
"旧纸条","旧纸条","Old note"
"旧铃铛","旧铃铛","Old bell"
"旧鸟居后的山路在浓雾中亮了一下。","旧鸟居后的山路在浓雾中亮了一下。","The mountain path beyond the old torii flashes once in the thick fog."
"是夜后，山雾散。道路复正。井水渐清。病者亦退热。","是夜后，山雾散。道路复正。井水渐清。病者亦退热。","After that night, the mountain fog thins. The roads right themselves. The well water clears. The sick, too, lose their fevers."
"普通灯火太浊，取不出能用于仪式的灯芯油。","普通灯火太浊，取不出能用于仪式的灯芯油。","Ordinary flames are too murky—you can’t draw ritual-grade lamp oil from them."
"有人想起那是一个神社巫女","有人想起那是一个神社巫女","Someone remembers she was a shrine miko."
"有人把仪式的方向改反了，原本的送行变成了迎神","有人把仪式的方向改反了，原本的送行变成了迎神","Someone reversed the rite’s direction—what was once a send-off became a welcoming of a god."
"有人用纸遮住了这个字，粘得很死，无法强行撕开","有人用纸遮住了这个字，粘得很死，无法强行撕开","Someone covered this character with paper. It’s stuck fast—you can’t tear it away by force."
"木匾变成了「送狐之仪」。","木匾变成了「送狐之仪」。","The plaque becomes: “Rite of Sending the Fox.”"
"木头压住碎石，脚下的空缺暂时安静下来。","木头压住碎石，脚下的空缺暂时安静下来。","The wood pins down loose stones; the hollow underfoot quiets, for now."
"木牌","木牌","Wooden placard"
